Angle,Radius,Value
127.5,10,1.16E-04
127.5,15,2.97E-04
127.5,20,2.78E-04
127.5,30,4.32E-04
127.5,40,2.58E-04
127.5,50,1.33E-04
127.5,60,5.64E-05
131.25,0.05,2.54E-05
131.25,0.1,1.06E-05
131.25,0.15,7.21E-06
131.25,0.2,5.51E-06
131.25,0.3,8.36E-06
131.25,0.4,6.44E-06
131.25,0.5,5.42E-06
131.25,0.6,4.80E-06
131.25,0.8,8.56E-06
131.25,1,7.91E-06
131.25,1.5,1.89E-05
131.25,2,1.93E-05
131.25,3,4.07E-05
131.25,4,4.36E-05
131.25,5,4.64E-05
131.25,6,4.87E-05
131.25,8,1.03E-04
131.25,10,1.09E-04
131.25,15,2.76E-04
131.25,20,2.59E-04
131.25,30,4.01E-04
131.25,40,2.38E-04
131.25,50,1.22E-04
131.25,60,5.12E-05
135,0.05,2.10E-05
135,0.1,8.65E-06
135,0.15,5.98E-06
135,0.2,4.63E-06
135,0.3,7.01E-06
135,0.4,5.60E-06
135,0.5,4.70E-06
135,0.6,4.33E-06
135,0.8,7.69E-06
135,1,7.21E-06
135,1.5,1.74E-05
135,2,1.77E-05
135,3,3.75E-05
135,4,4.03E-05
135,5,4.28E-05
135,6,4.52E-05
135,8,9.55E-05
135,10,1.00E-04
135,15,2.56E-04
135,20,2.40E-04
135,30,3.70E-04
135,40,2.19E-04
135,50,1.12E-04
135,60,4.65E-05
138.75,0.05,1.73E-05
138.75,0.1,7.12E-06
138.75,0.15,4.96E-06
138.75,0.2,3.92E-06
138.75,0.3,6.10E-06
138.75,0.4,4.88E-06
138.75,0.5,4.23E-06
138.75,0.6,3.86E-06
138.75,0.8,7.00E-06
138.75,1,6.54E-06
138.75,1.5,1.59E-05
138.75,2,1.63E-05
138.75,3,3.45E-05
138.75,4,3.72E-05
138.75,5,3.96E-05
138.75,6,4.15E-05
138.75,8,8.80E-05
138.75,10,9.26E-05
138.75,15,2.36E-04
138.75,20,2.21E-04
138.75,30,3.39E-04
138.75,40,2.00E-04
138.75,50,1.01E-04
138.75,60,4.17E-05
142.5,0.05,1.43E-05
142.5,0.1,5.91E-06
142.5,0.15,4.17E-06
142.5,0.2,3.33E-06
142.5,0.3,5.20E-06
142.5,0.4,4.16E-06
142.5,0.5,3.67E-06
142.5,0.6,3.38E-06
142.5,0.8,6.18E-06
142.5,1,5.93E-06
142.5,1.5,1.45E-05
142.5,2,1.48E-05
142.5,3,3.15E-05
142.5,4,3.39E-05
142.5,5,3.61E-05
142.5,6,3.79E-05
142.5,8,8.04E-05
142.5,10,8.47E-05
142.5,15,2.16E-04
142.5,20,2.01E-04
142.5,30,3.09E-04
142.5,40,1.81E-04
142.5,50,9.15E-05
142.5,60,3.76E-05
146.25,0.05,1.18E-05
146.25,0.1,4.88E-06
146.25,0.15,3.47E-06
146.25,0.2,2.77E-06
146.25,0.3,4.45E-06
146.25,0.4,3.64E-06
146.25,0.5,3.27E-06
146.25,0.6,2.99E-06
146.25,0.8,5.61E-06
146.25,1,5.27E-06
146.25,1.5,1.29E-05
146.25,2,1.34E-05
146.25,3,2.85E-05
146.25,4,3.08E-05
146.25,5,3.27E-05
146.25,6,3.45E-05
146.25,8,7.29E-05
146.25,10,7.68E-05
146.25,15,1.95E-04
146.25,20,1.82E-04
146.25,30,2.79E-04
146.25,40,1.63E-04
146.25,50,8.20E-05
146.25,60,3.34E-05
150,0.05,9.68E-06
150,0.1,4.03E-06
150,0.15,2.88E-06
150,0.2,2.33E-06
150,0.3,3.81E-06
150,0.4,3.20E-06
150,0.5,2.86E-06
150,0.6,2.63E-06
150,0.8,4.99E-06
150,1,4.70E-06
150,1.5,1.16E-05
150,2,1.19E-05
150,3,2.54E-05
150,4,2.75E-05
150,5,2.92E-05
150,6,3.08E-05
150,8,6.54E-05
150,10,6.88E-05
150,15,1.75E-04
150,20,1.63E-04
150,30,2.49E-04
150,40,1.45E-04
150,50,7.26E-05
150,60,2.95E-05
153.75,0.05,7.91E-06
153.75,0.1,3.33E-06
153.75,0.15,2.40E-06
153.75,0.2,2.01E-06
